도서관명,행정구역,주소
롯데캐슬도서관,서울특별시 강동구,서울특별시 강동구 고덕로 131(강동롯데캐슬퍼스트아파트)관리동 지하1층
롯데캐슬문고,서울특별시 은평구,서울특별시 은평구 진관3로 70(은평뉴타운상림마을)은평뉴타운 830동 1층
루디아 영어 어린이 도서관,서울특별시 강남구,"서울특별시 강남구 헌릉로 569, (세곡동)강남리더스빌딩 802호"
루르드의 작은도서관,서울특별시 강동구,"서울특별시 강동구 고덕로 476, (강일동)1층"
루씨 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 회기로18길 8, (회기동)1층"
리본SH 작은도서관,서울특별시 서초구,서울특별시 서초구 바우뫼로18길 20(양재리본타워1단지)양재리본타워1단지아파트
리본숲SH 작은도서관,서울특별시 서초구,"서울특별시 서초구 매헌로16길 40, 양재동 (양재동, 양재리본타워2단지)양재리본타워2단지 관리동2층"
마고정 작은도서관,서울특별시 은평구,서울특별시 은평구 진관2로 60(은평뉴타운마고정아파트)335동 1층 뒤
마루한,서울특별시 금천구,"서울특별시 금천구 금하로 679, (시흥동)202호"
마장동 작은도서관,서울특별시 성동구,"서울특별시 성동구 마장로42길 11, (마장동)마장동주민센터 2층"
마중물도서관,서울특별시 구로구,"서울특별시 구로구 부일로1길 62, (온수동)온수동 주민공동 이용시설 1층"
마천1동새마을문고,서울특별시 송파구,서울특별시 송파구 마천로 303(마천1동주민센터)동주민센터 1층
마천2동새마을문고(글수레작은도서관),서울특별시 송파구,"서울특별시 송파구 마천로 287, (마천동)동주민센터 2층"
마천하늘꿈 작은도서관,서울특별시 송파구,"서울특별시 송파구 거마로22길 49, (마천동)범양빌딩 302호 하늘사닥다리교회"
마포어린이영어도서관,서울특별시 마포구,"서울특별시 마포구 도화4길 53, (도화동)2층"
마포한강아이파크작은도서관,서울특별시 마포구,"서울특별시 마포구 희우정로 77, (망원동, 마포한강아이파크)마포한강아이파크작은도서관"
만나문고,서울특별시 중랑구,"서울특별시 중랑구 동일로 620, (면목동)만나교회 1층"
많은샘작은도서관,서울특별시 강서구,서울특별시 강서구 양천로75길 13(샘터성결교회)2층
맑은누리 작은도서관,서울특별시 금천구,"서울특별시 금천구 시흥대로58길 36, (시흥동)시흥1동 주민센터 5층"
맑은샘작은도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로145길 69, (방학동)2층"
망원1동문고,서울특별시 마포구,"서울특별시 마포구 포은로6길 10, (망원동)망원1동주민센터2층"
메아리작은도서관,서울특별시 노원구,서울특별시 노원구 동일로217길 48(노원평생교육원)735-1 노원평생교육원 1층
면목종합사회복지관 아름인도서관,서울특별시 중랑구,"서울특별시 중랑구 용마산로 228, (면목동, 도시개발아파트)면목종합사회복지관 3층"
모퉁이작은도서관(은평뉴타운 상림마을14단지마을문고),서울특별시 은평구,"서울특별시 은평구 진관4로 48-51, (진관동, 은평뉴타운상림마을)730동 1층"
목1동 도서방,서울특별시 양천구,서울 양천구 목1동목동서로 192
목3동꿈자람작은도서관,서울특별시 양천구,서울 양천구 목3동목동중앙남로 16나길55
목화마을공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 선유로13길 25, (문래동6가)에이스하이테크시티2차 218호"
무수골도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로157길 10, (도봉동)3층"
무악다솜방,서울특별시 종로구,서울특별시 종로구 통일로14길 36(무악동주민센터)무악동주민센터 2층
무지개영어도서관,서울특별시 은평구,"서울특별시 은평구 서오릉로21길 11, (구산동)1층"
무학도서관,서울특별시 성동구,"서울특별시 성동구 행당로 123, (행당동)무학교회 별관 지하 1층"
문래동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 도림로141가길 16, (문래동4가)1층"
문래자이문고,서울특별시 영등포구,"서울특별시 영등포구 당산로4길 12, (문래동3가, 문래자이)102-1"
문정1동새마을문고(느티나무작은도서관),서울특별시 송파구,서울특별시 송파구 동남로 116(문정1동주민센터)동주민센터 2층
문정2동새마을문고(숯내작은도서관),서울특별시 송파구,"서울특별시 송파구 중대로 16, (문정동)동주민센터 1층"
물빛마을작은도서관,서울특별시 은평구,서울특별시 은평구 은평터널로 48(은평종합사회복지관)4층
물푸레 책푸레 작은도서관,서울특별시 은평구,"서울특별시 은평구 진관4로 48-51, (진관동, 은평뉴타운상림마을)상림마을 742동 1층"
미래향기 작은도서관,서울특별시 금천구,"서울특별시 금천구 독산로 179, (독산동)1층"
미성동 책의향기 작은도서관,서울특별시 관악구,서울특별시 관악구 난곡로 249(미성동주민센터)3층
미아동 새마을문고,서울특별시 강북구,"서울특별시 강북구 솔매로49길 14(미아동 복합청사, 미아문화정보도서관)2층"
바다의별 작은도서관,서울특별시 은평구,서울특별시 은평구 통일로 786(천주교불광동교회)천주교불광동교회
바르미 SH 작은도서관,서울특별시 노원구,"서울특별시 노원구 덕릉로70가길 21, (상계동, 중계센트럴파크)중계센트럴파크 입주지원센터 바르미 작은도서관"
반디작은도서관,서울특별시 노원구,서울특별시 노원구 동일로227길 97(상계8동주민센터)동일로 227길 97
반딧불 작은도서관,서울특별시 강동구,"서울특별시 강동구 천호대로187길 6, (길동)길동자치회관 2층"
반딧불이작은도서관,서울특별시 도봉구,"서울특별시 도봉구 해등로 307, (방학동, 우성2차아파트)관리동 2층"
반포1동 작은도서관,서울특별시 서초구,서울특별시 서초구 사평대로 273(반포1동 주민센터)20-48
반포2동 작은도서관,서울특별시 서초구,"서울특별시 서초구 신반포로15길 16, (반포동)주민센터 2층"
반포3동 작은도서관,서울특별시 서초구,"서울특별시 서초구 신반포로23길 78, (잠원동)반포3동주민센터"
반포4동 작은도서관,서울특별시 서초구,서울특별시 서초구 사평대로28길 70(반포4동주민센터)4층 작은도서관
반포본동 작은도서관,서울특별시 서초구,서울특별시 서초구 신반포로 10(반포본동주민센터)2층 반포본동 작은도서관
발음작은도서관,서울특별시 강서구,서울특별시 강서구 강서로47다길 35(발음교회)발음도서관
발효 작은도서관,서울특별시 관악구,"서울특별시 관악구 남부순환로 1794, (봉천동)4층 401호"
밝은작은도서관,서울특별시 강북구,"서울특별시 강북구 삼양로19길 74, (미아동)엄마손마트 지하"
방그리나작은도서관,서울특별시 강서구,"서울특별시 강서구 금낭화로24길 5, (방화동)2층"
방배1동 작은도서관,서울특별시 서초구,"서울특별시 서초구 효령로29길 43, (방배동)"
방배2동 작은도서관,서울특별시 서초구,서울특별시 서초구 청두곶길 36(방배2동주민센터)
방배4동 작은도서관,서울특별시 서초구,"서울특별시 서초구 방배로 173, (방배동)3층 방배4동 주민센터 작은도서관"
방배본동 작은도서관,서울특별시 서초구,"서울특별시 서초구 동광로19길 38, (방배동)774-9"
방배은혜도서관,서울특별시 서초구,"서울특별시 서초구 방배로4길 10-18, (방배동)2층 (1층)"
방이1동새마을문고,서울특별시 송파구,서울특별시 송파구 위례성대로16길 22(방이1동주민센터)동주민센터2층
방이2동새마을문고(방이2동작은도서관),서울특별시 송파구,"서울특별시 송파구 백제고분로 495, (방이동)동주민센터 1층"
